log_q,log_p,log_y,share,log_hhsize,log_driver,log_hhr_age,total_wrkr,publictransit_d,cl5_smtown_d,cl5_suburban_d,cl5_secondcity_d,cl5_urban_d,popdensity_d2,popdensity_d3,popdensity_d4,popdensity_d5,popdensity_d6,popdensity_d7,popdensity_d8,state_fips,distance_oil1000
5.8452201,.3603107,11.695247,.0041290158,1.3862944,.69314718,3.6888795,2,1,0,0,0,1,0,0,0,0,1,0,0,CA,2.8637257
6.9172649,.36113149,11.407565,.016096259,1.3862944,.69314718,3.8501475,2,1,0,0,0,1,0,0,0,0,0,1,0,CA,2.8637257
6.4792309,.36165938,11.695247,.0077943453,1.0986123,.69314718,3.6109178,2,1,1,0,0,0,1,0,0,0,0,0,0,CA,2.8637257
8.0420904,.36140811,11.258033,.057582609,1.3862944,1.0986123,3.6375861,3,0,0,1,0,0,0,0,0,0,1,0,0,CA,2.8637257
6.5043902,.36156347,10.388995,.029509541,1.6094379,.69314718,3.2188759,1,0,0,0,0,1,0,0,0,0,1,0,0,CA,2.8637257
7.4238467,.36155352,10.657259,.056593619,1.0986123,.69314718,3.4965076,2,0,0,0,1,0,0,0,0,0,1,0,0,CA,2.8637257
6.6224651,.36114088,11.695247,.008990013,1.0986123,.69314718,3.8066626,1,0,0,1,0,0,0,0,0,0,1,0,0,CA,2.8637257
6.9335098,.36145693,11.695247,.012273898,1.3862944,.69314718,3.8066626,2,1,0,0,0,1,0,0,0,0,1,0,0,CA,2.8637257
7.2051005,.36153623,11.695247,.016105242,1.3862944,.69314718,3.6635616,1,1,0,1,0,0,0,0,0,0,1,0,0,CA,2.8637257
5.7982149,.36117843,11.258033,.0061050449,1.0986123,.69314718,3.7841897,1,1,0,1,0,0,0,0,0,0,0,1,0,CA,2.8637257
6.8102889,.36170796,10.532096,.034731817,1.0986123,.69314718,3.5263605,1,1,0,1,0,0,0,0,0,0,1,0,0,CA,2.8637257
8.4028435,.3618339,11.407565,.071155488,1.3862944,.69314718,3.6635616,2,0,0,0,0,1,0,0,0,0,1,0,0,CA,2.8637257
7.6372948,.3616153,11.119883,.044114221,1.3862944,1.0986123,3.8286414,2,1,1,0,0,0,0,1,0,0,0,0,0,CA,2.8637257
6.9913836,.36163747,10.95954,.027146177,1.3862944,.69314718,3.9120231,2,1,1,0,0,0,1,0,0,0,0,0,0,CA,2.8637257
7.190948,.36160558,11.191341,.026284177,1.6094379,.69314718,3.6109178,2,0,0,0,1,0,0,0,1,0,0,0,0,CA,2.8637257
